sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3022-2,md3022,B,0.806099518459069,1.0,0.9921348314606742,0.821391124297239,890
md3023-2,md3023,B,0.7400707007693906,1.0,0.9836244541484717,0.7499306671185995,916
md3024-2,md3024,B,0.8474926762019644,1.0,1.0,0.8634185766991463,829
md3025-2,md3025,B,0.8554285714285713,1.0,1.0,0.8730720893184257,250
md3028-2,md3028,B,0.7614237614237614,1.0,0.9485766758494031,0.7747948515301561,1089
md3029-2,md3029,B,0.8918197984588025,1.0,1.0,0.9109447371764777,964
md3033-2,md3033,B,0.5434696700256866,0.7012448132780082,0.9294605809128631,0.745230512202871,482
md3037-2,md3037,B,0.46423998536674593,0.6389244558258643,0.6427656850192062,0.4777375599665698,781
md3039-2,md3039,B,0.2203363193462203,0.27722772277227725,0.4735973597359736,0.27741469067509544,606
md3041-2,md3041,B,0.02779029592909719,0.0473186119873817,0.6403785488958991,0.07162019701319654,317
md3042-2,md3042,B,0.018713450292397665,0.02280701754385965,0.7105263157894737,0.061543610707025534,570
md3043-2,md3043,B,0.5186147186147186,0.9804195804195804,0.5048951048951049,0.5205195084839669,1430
md3045-2,md3045,B,0.674303683737646,0.9937106918238994,0.8317610062893082,0.683435547617903,636
md3046-2,md3046,B,0.7691686844229217,1.0,0.9703389830508474,0.7826458267195464,708
md3047-2,md3047,B,0.20318106876151681,0.09368635437881874,0.23828920570264767,0.2111820272078724,491
md3049-2,md3049,B,0.28139497680371145,0.3818589025755879,0.3460246360582307,0.28647124949376046,893
md3052-2,md3052,B,0.34670297928530164,0.5927209705372617,0.5736568457538995,0.46606132159753505,577
md3053-2,md3053,B,0.5865556749015396,0.9906015037593985,0.43139097744360905,0.598624158303312,1064
md3056-2,md3056,B,0.8202161846333625,1.0,1.0,0.8358106558936323,815
md3057-2,md3057,B,0.2951499118165785,0.40925925925925927,0.6444444444444445,0.41061252873571374,540
md3061-2,md3061,B,0.55467747382641,1.0,0.8680851063829788,0.5594824783501893,705
md3063-2,md3063,B,0.734920634920635,0.9092592592592592,0.924074074074074,0.7981275449589604,540
md3001-3,md3001,C,0.24375114030286443,0.40676883780332057,0.421455938697318,0.3120778918087,1566
md3002-3,md3002,C,0.10438877043354657,0.125,0.7052238805970149,0.2538186767974777,536
md3003-3,md3003,C,0.0,0.0,1.0,nan,400
md3004-3,md3004,C,0.5254834054834054,0.6654545454545454,0.9987878787878788,0.8033779695523535,825
md3006-3,md3006,C,0.09370474486753558,0.11270125223613596,0.5313059033989267,0.16360199728844577,559
md3007-3,md3007,C,0.1503006012024048,0.19939879759519039,0.6663326653306614,0.3084579425619405,998
md3009-3,md3009,C,0.17634285714285716,0.2336,0.4984,0.24802884031979333,1250
md3010-3,md3010,C,0.07031552458381725,0.08333333333333333,1.0,0.8608445436499894,984
md3011-3,md3011,C,0.02646103896103896,0.03409090909090909,0.5704545454545454,0.058437640390440894,880
md3012-3,md3012,C,0.8405742110921395,1.0,1.0,0.8568626286005818,753
md3014-3,md3014,C,0.7720723482526058,1.0,0.9817596566523605,0.787180565941297,932
md3015-3,md3015,C,0.806623796915059,1.0,1.0,0.8224841369579048,1133
md3021-3,md3021,C,0.7738367658276124,1.0,0.965675057208238,0.7879903351375475,874
md3022-3,md3022,C,0.8063670411985019,1.0,0.9955056179775281,0.8233803982840657,890
md3023-3,md3023,C,0.6954668330214181,1.0,0.9836244541484717,0.7042071214282499,916
md3024-3,md3024,C,0.838819001665805,1.0,0.9879372738238842,0.8556505552883892,829
md3025-3,md3025,C,0.8041904761904761,1.0,0.988,0.8206939044995488,250
md3028-3,md3028,C,0.6281429008701737,0.8815426997245179,0.8181818181818182,0.6381946060936455,1089
md3029-3,md3029,C,0.8226635052361194,1.0,1.0,0.8384453141866567,964
md3033-3,md3033,C,0.8304682868998221,0.970954356846473,1.0,0.8739298246716252,482
md3037-3,md3037,C,0.8254374733247971,0.9526248399487837,1.0,0.8852059120154657,781
md3039-3,md3039,C,0.17476033317617481,0.20957095709570958,0.6501650165016502,0.3191481490433547,606
md3041-3,md3041,C,0.060988433228180865,0.11041009463722397,0.24605678233438485,0.0748597146044092,317
md3042-3,md3042,C,0.03742690058479532,0.054385964912280704,0.04912280701754386,0.03772817370698179,570
md3043-3,md3043,C,0.5256077256077256,0.986013986013986,0.4902097902097902,0.526270318516105,1430
md3045-3,md3045,C,0.8291404612159328,1.0,1.0,0.8449198532836795,636
md3046-3,md3046,C,0.8029324724239977,1.0,0.9971751412429378,0.8188857519171625,708
md3047-3,md3047,C,0.8392008534574726,1.0,1.0,0.8559525405371596,491
md3049-3,md3049,C,0.10958246680531115,0.1511758118701008,0.4053751399776036,0.15359028196406707,893
md3052-3,md3052,C,0.7401997194024924,0.9150779896013865,1.0,0.8242183323069335,577
md3053-3,md3053,C,0.48509667024704617,0.9859022556390977,0.40883458646616544,0.48638386376884896,1064
md3056-3,md3056,C,0.2839614373356704,0.3460122699386503,0.5153374233128835,0.3498619034618619,815
md3057-3,md3057,C,0.28871252204585535,0.39444444444444443,0.48703703703703705,0.33587704697804965,540
md3061-3,md3061,C,0.7488010807159743,1.0,0.9730496453900709,0.7616597274887088,705
md3063-3,md3063,C,0.7565255731922399,0.8685185185185185,0.9166666666666666,0.8161129696845796,540
