task,feature_set,scope,feature_count,cv,target_folds,eligible_rows,oof_rows,label_coverage,positive_rate,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,tn,fp,fn,tp,uses_gt_at_decision,posthoc_diagnostic_only
A_helpful_vs_harmful,weighted_S2,receiver_B,1,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.48160544333574673,0.5602755310245708,0.5646916565900847,0.6586741889985895,203,360,242,467,False,True
A_helpful_vs_harmful,weighted_S2,receiver_C,1,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.39609130964216177,0.4423429098599476,0.421256038647343,0.5604113110539846,275,599,342,436,False,True
B_replace_local,weighted_S2,overall,1,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.43105473016814966,0.06151284402048557,0.060174188440221696,0.31020408163265306,15540,9496,1352,608,False,True
B_replace_local,weighted_S2,receiver_A,1,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.2657324540058648,0.03514364436098256,0.021907931225734888,0.16701902748414377,4462,3527,394,79,False,True
B_replace_local,weighted_S2,receiver_B,1,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.5996539373354224,0.11594319487640264,0.1136890951276102,0.4837799717912553,5933,2674,366,343,False,True
B_replace_local,weighted_S2,receiver_C,1,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.3964208262771233,0.0639473920031638,0.05343292157426027,0.2390745501285347,5145,3295,592,186,False,True
A_helpful_vs_harmful,weighted_S3,overall,4,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4181587795348213,0.43602318738260915,0.38020659780073307,0.5821428571428572,574,1860,819,1141,False,True
A_helpful_vs_harmful,weighted_S3,receiver_A,4,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.3423250724689926,0.30798870395362477,0.19758412424503882,0.48414376321353064,67,930,244,229,False,True
A_helpful_vs_harmful,weighted_S3,receiver_B,4,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.49481545318125,0.5683454600299436,0.5963777490297542,0.6502115655853314,251,312,248,461,False,True
A_helpful_vs_harmful,weighted_S3,receiver_C,4,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.46349849699693524,0.5175419923140413,0.42188961646398504,0.5796915167095116,256,618,327,451,False,True
B_replace_local,weighted_S3,overall,4,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.5458371781369522,0.08742895928032642,0.07796280276816608,0.3678571428571429,16509,8527,1239,721,False,True
