sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3024-2,md3024,B,0.8492159227985525,1.0,1.0,0.8678817940981539,829
md3025-2,md3025,B,0.8617142857142858,1.0,1.0,0.8798391233008807,250
md3028-2,md3028,B,0.7533342078796623,1.0,0.9320477502295684,0.766067944507986,1089
md3029-2,md3029,B,0.8916222090495949,1.0,1.0,0.9114704484478036,964
md3033-2,md3033,B,0.5409010077059869,0.7033195020746889,0.9107883817427386,0.737969724225198,482
md3037-2,md3037,B,0.30309127492226084,0.4327784891165173,0.44302176696542894,0.31243702813743335,781
md3039-2,md3039,B,0.6723243752946724,0.806930693069307,0.9983498349834984,0.8474363920458666,606
md3041-2,md3041,B,0.030343998798257475,0.05362776025236593,0.6435331230283912,0.07866308318848979,317
md3042-2,md3042,B,0.018295739348370928,0.02280701754385965,0.7105263157894737,0.05977133790135705,570
md3043-2,md3043,B,0.5797202797202797,0.9895104895104895,0.5888111888111888,0.5840751183124825,1430
md3045-2,md3045,B,0.6848607367475291,0.9968553459119497,0.8018867924528302,0.6952136823004254,636
md3046-2,md3046,B,0.7693704600484261,1.0,0.9872881355932204,0.7829280632409762,708
md3047-2,md3047,B,0.219959266802444,0.14663951120162932,0.2830957230142566,0.22999321576864643,491
md3049-2,md3049,B,0.08894576867701168,0.11086226203807391,0.10414333706606943,0.09061431654630615,893
md3052-2,md3052,B,0.3564413633737724,0.5909878682842288,0.5632582322357019,0.47823683570184383,577
md3053-2,md3053,B,0.5683852488363766,0.9906015037593985,0.30545112781954886,0.5777849834272246,1064
md3056-2,md3056,B,0.8379199532573764,1.0,1.0,0.8548009465075096,815
md3057-2,md3057,B,0.28553791887125224,0.4,0.6370370370370371,0.3966676478798768,540
md3061-2,md3061,B,0.5716312056737589,1.0,0.8709219858156029,0.5760556269446736,705
md3063-2,md3063,B,0.7432098765432098,0.9092592592592592,0.9185185185185185,0.8083355174846681,540
md3001-3,md3001,C,0.2711184090494435,0.4393358876117497,0.45338441890166026,0.3481595983588891,1566
md3002-3,md3002,C,0.1033226723525231,0.125,0.7052238805970149,0.25148673933658067,536
md3003-3,md3003,C,0.0,0.0,1.0,nan,400
md3004-3,md3004,C,0.5232900432900434,0.6654545454545454,0.9987878787878788,0.8007054785173647,825
md3006-3,md3006,C,0.08092682511287162,0.09838998211091235,0.516994633273703,0.14199631773088553,559
md3007-3,md3007,C,0.1552151922893406,0.19939879759519039,0.6813627254509018,0.3186567192920403,998
md3009-3,md3009,C,0.1592,0.2128,0.4752,0.22420682462260977,1250
md3010-3,md3010,C,0.06958962446767324,0.08333333333333333,1.0,0.8527407605286099,984
md3011-3,md3011,C,0.026515151515151512,0.03409090909090909,0.5693181818181818,0.0585245002759156,880
md3012-3,md3012,C,0.8381078859166509,1.0,1.0,0.8543778125304979,753
md3014-3,md3014,C,0.7859186593092172,1.0,0.9785407725321889,0.8000594332883152,932
md3015-3,md3015,C,0.7995208674820324,1.0,1.0,0.8153853415295846,1133
md3021-3,md3021,C,0.7710035959463878,0.9965675057208238,0.965675057208238,0.7858096841402658,874
md3022-3,md3022,C,0.8141787051899412,1.0,0.9955056179775281,0.8316474891800009,890
md3023-3,md3023,C,0.6918798086920358,1.0,0.9770742358078602,0.7010678130482841,916
md3024-3,md3024,C,0.8371531966224366,1.0,0.9867310012062727,0.8533235447946621,829
md3025-3,md3025,C,0.8131428571428572,1.0,0.988,0.8285502070821915,250
md3028-3,md3028,C,0.6418295509204599,0.8824609733700642,0.8117539026629935,0.6526364917745343,1089
md3029-3,md3029,C,0.8396561944279787,1.0,1.0,0.8566008518269302,964
md3033-3,md3033,C,0.8414344991108477,0.970954356846473,1.0,0.88469630538012,482
md3037-3,md3037,C,0.8123894884458265,0.9526248399487837,1.0,0.8713208315078633,781
md3039-3,md3039,C,0.4683325475404684,0.5594059405940595,1.0,0.8562524195728947,606
md3041-3,md3041,C,0.06744779930899804,0.11356466876971609,0.2555205047318612,0.08268516578022816,317
md3042-3,md3042,C,0.0379281537176274,0.054385964912280704,0.05263157894736842,0.03833373138466343,570
md3043-3,md3043,C,0.5597069597069597,0.9727272727272728,0.5230769230769231,0.5626176659159848,1430
md3045-3,md3045,C,0.826669661575322,1.0,0.9968553459119497,0.8429329250734947,636
md3046-3,md3046,C,0.7981571159537262,1.0,0.9971751412429378,0.8135983256452445,708
md3047-3,md3047,C,0.825332169527689,1.0,1.0,0.8429797907771434,491
md3049-3,md3049,C,0.04841891963952434,0.0593505039193729,0.3337066069428891,0.06787190411507374,893
md3052-3,md3052,C,0.7236114549806059,0.9150779896013865,1.0,0.806579093086388,577
md3053-3,md3053,C,0.5039831722162549,0.9868421052631579,0.40601503759398494,0.506686035240942,1064
md3056-3,md3056,C,0.26514753140520014,0.3104294478527607,0.48466257668711654,0.32659090465360263,815
md3057-3,md3057,C,0.40634920634920635,0.562962962962963,0.6407407407407407,0.4732332484581023,540
md3061-3,md3061,C,0.7572441742654509,1.0,0.9574468085106383,0.7701070072226288,705
md3063-3,md3063,C,0.7681657848324515,0.8851851851851852,0.9296296296296296,0.8295104013440938,540
