group_type,group,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,gt_oracle,remote_help_available_ratio
receiver_view,C,oracle_single,5,0.7213399967865004,0.9065970989955557,0.9015688968235473,0.7537041627888452,0.015257772643328837,True,
receiver_view,C,sender0_only,5,0.7047569883730469,0.9054650235238576,0.8894229671700936,0.7354621888499325,-0.0013252357701246664,False,
receiver_view,C,sender1_only,5,0.7079214306324308,0.9054650235238576,0.8894548089315837,0.7391029815030566,0.0018392064892592819,False,
target_id,md3016,both,3,0.6436753395516283,0.90446735395189,0.9415807560137458,0.6902374561551069,0.00037637047946326163,False,
target_id,md3016,local,3,0.643298969072165,0.90446735395189,0.9426116838487973,0.6903930387658268,0.0,False,
target_id,md3016,oof_selector,3,0.643298969072165,0.90446735395189,0.9426116838487973,0.6903930387658268,0.0,False,
target_id,md3016,oracle_4,3,0.6595810832924235,0.90446735395189,0.9463917525773197,0.708371133694643,0.016282114220258492,True,
target_id,md3016,oracle_single,3,0.6590738013418426,0.90446735395189,0.9463917525773197,0.7078055627474713,0.015774832269677574,True,
target_id,md3016,sender0_only,3,0.6394370806741941,0.90446735395189,0.941237113402062,0.6864915820855669,-0.0038618883979708585,False,
target_id,md3016,sender1_only,3,0.646424480445099,0.90446735395189,0.9426116838487973,0.6935855689815905,0.0031255113729340422,False,
target_id,md3027,both,3,0.8047032193158953,0.994131455399061,1.0,0.8258901824249247,-0.0027665995975856283,False,
target_id,md3027,local,3,0.8074698189134809,0.994131455399061,1.0,0.8286072025960389,0.0,False,
target_id,md3027,oof_selector,3,0.8074698189134809,0.994131455399061,1.0,0.8286072025960389,0.0,False,
target_id,md3027,oracle_4,3,0.8148753632908563,0.994131455399061,1.0,0.836102254866364,0.007405544377375395,True,
target_id,md3027,oracle_single,3,0.8147216633132127,0.994131455399061,1.0,0.8359216379343705,0.0072518443997318105,True,
target_id,md3027,sender0_only,3,0.8045774647887325,0.994131455399061,1.0,0.8251360285076036,-0.0028923541247484197,False,
target_id,md3027,sender1_only,3,0.8051922646993069,0.994131455399061,1.0,0.8265261381016855,-0.0022775542141739713,False,
target_id,md3034,both,3,0.5644088218345644,0.881921525485882,0.7774110744407774,0.6614166131679661,-0.005413239736672071,False,
target_id,md3034,local,3,0.5698220615712365,0.881921525485882,0.7851118445177852,0.6681926865451091,0.0,False,
target_id,md3034,oof_selector,3,0.5681631655229015,0.881921525485882,0.7829116244957829,0.6664306689621957,-0.0016588960483350235,False,
target_id,md3034,oracle_4,3,0.5884016973125884,0.881921525485882,0.8096809680968097,0.6892564319725727,0.018579635741351908,True,
target_id,md3034,oracle_single,3,0.587755600956921,0.881921525485882,0.8085808580858086,0.6884748413134553,0.017933539385684538,True,
target_id,md3034,sender0_only,3,0.5646358286622313,0.881921525485882,0.7814448111477814,0.661258326760619,-0.005186232909005217,False,
target_id,md3034,sender1_only,3,0.5625403810222293,0.881921525485882,0.7708104143747708,0.6596394721336916,-0.007281680549007241,False,
target_id,md3048,both,3,0.55759209344115,0.5937106918238994,0.6088050314465409,0.5884112448725399,0.005360886492962069,False,
