epoch,loader,view,view_count,group_samples,distinct_view_frame_ratio,delta_t_mean,delta_t_median,delta_t_p90,unique_pair_count,unique_pair_ratio,causal_violations,visibility_violations
23,val,B,1496,1496,1.0,84.98328877005348,82.0,171.0,1487,0.9939839572192514,0,0
23,val,C,1496,1496,1.0,88.8663101604278,82.5,175.0,1489,0.9953208556149733,0,0
24,train,A,6000,6000,1.0,82.9325,75.0,171.0,5854,0.9756666666666667,0,0
24,train,B,6000,6000,1.0,78.10083333333333,68.0,170.0,5615,0.9358333333333333,0,0
24,train,C,6000,6000,1.0,81.09916666666666,72.0,172.0,5715,0.9525,0,0
24,val,A,1496,1496,1.0,87.43582887700535,81.0,176.0,1490,0.9959893048128342,0,0
24,val,B,1496,1496,1.0,86.07219251336899,81.0,171.0,1490,0.9959893048128342,0,0
24,val,C,1496,1496,1.0,89.40441176470588,85.0,174.0,1492,0.9973262032085561,0,0
25,train,A,6000,6000,1.0,81.66066666666667,72.0,170.0,5831,0.9718333333333333,0,0
25,train,B,6000,6000,1.0,75.7185,65.0,167.0,5597,0.9328333333333333,0,0
25,train,C,6000,6000,1.0,80.17166666666667,71.0,169.0,5718,0.953,0,0
25,val,A,1496,1496,1.0,85.3355614973262,79.0,175.0,1488,0.9946524064171123,0,0
25,val,B,1496,1496,1.0,90.51069518716578,89.0,176.0,1491,0.9966577540106952,0,0
25,val,C,1496,1496,1.0,87.93582887700535,81.0,177.0,1489,0.9953208556149733,0,0
26,train,A,6000,6000,1.0,82.18666666666667,75.0,170.0,5861,0.9768333333333333,0,0
26,train,B,6000,6000,1.0,76.895,66.0,169.0,5633,0.9388333333333333,0,0
26,train,C,6000,6000,1.0,80.3875,72.0,170.0,5705,0.9508333333333333,0,0
26,val,A,1496,1496,1.0,86.83823529411765,79.0,174.0,1491,0.9966577540106952,0,0
26,val,B,1496,1496,1.0,89.09625668449198,86.0,172.0,1492,0.9973262032085561,0,0
26,val,C,1496,1496,1.0,88.1062834224599,80.0,178.0,1493,0.9979946524064172,0,0
27,train,A,6000,6000,1.0,82.25416666666666,73.0,171.0,5838,0.973,0,0
27,train,B,6000,6000,1.0,77.68833333333333,68.0,169.0,5616,0.936,0,0
27,train,C,6000,6000,1.0,78.635,68.0,169.0,5717,0.9528333333333333,0,0
27,val,A,1496,1496,1.0,83.62700534759358,73.0,175.0,1489,0.9953208556149733,0,0
27,val,B,1496,1496,1.0,90.3562834224599,87.0,173.0,1492,0.9973262032085561,0,0
27,val,C,1496,1496,1.0,89.83489304812834,87.0,174.0,1492,0.9973262032085561,0,0
28,train,A,6000,6000,1.0,80.4055,71.0,169.0,5824,0.9706666666666667,0,0
28,train,B,6000,6000,1.0,77.72533333333334,68.0,169.0,5608,0.9346666666666666,0,0
28,train,C,6000,6000,1.0,80.26566666666666,71.0,172.0,5678,0.9463333333333334,0,0
28,val,A,1496,1496,1.0,87.37299465240642,84.0,173.0,1492,0.9973262032085561,0,0
28,val,B,1496,1496,1.0,88.85227272727273,81.0,175.0,1491,0.9966577540106952,0,0
28,val,C,1496,1496,1.0,87.81617647058823,81.5,175.0,1490,0.9959893048128342,0,0
29,train,A,6000,6000,1.0,83.82133333333333,76.0,173.0,5857,0.9761666666666666,0,0
29,train,B,6000,6000,1.0,77.8905,66.0,172.0,5626,0.9376666666666666,0,0
29,train,C,6000,6000,1.0,78.3615,69.0,169.0,5689,0.9481666666666667,0,0
29,val,A,1496,1496,1.0,86.86764705882354,82.0,174.0,1487,0.9939839572192514,0,0
29,val,B,1496,1496,1.0,88.69117647058823,84.0,175.0,1489,0.9953208556149733,0,0
29,val,C,1496,1496,1.0,86.0153743315508,79.0,172.0,1488,0.9946524064171123,0,0
30,train,A,6000,6000,1.0,83.6355,76.0,172.0,5872,0.9786666666666667,0,0
30,train,B,6000,6000,1.0,77.90583333333333,67.0,170.0,5594,0.9323333333333333,0,0
30,train,C,6000,6000,1.0,79.3605,70.0,169.0,5726,0.9543333333333334,0,0
30,val,A,1496,1496,1.0,88.69852941176471,83.5,176.0,1491,0.9966577540106952,0,0
30,val,B,1496,1496,1.0,87.93382352941177,82.5,174.0,1488,0.9946524064171123,0,0
30,val,C,1496,1496,1.0,88.43917112299465,82.0,171.0,1486,0.9933155080213903,0,0
31,train,A,6000,6000,1.0,83.6685,76.0,171.0,5859,0.9765,0,0
31,train,B,6000,6000,1.0,77.80583333333334,66.0,171.0,5616,0.936,0,0
31,train,C,6000,6000,1.0,80.38716666666667,73.0,170.0,5714,0.9523333333333334,0,0
31,val,A,1496,1496,1.0,86.55548128342247,82.0,169.0,1489,0.9953208556149733,0,0
31,val,B,1496,1496,1.0,91.23395721925134,88.0,176.0,1489,0.9953208556149733,0,0
31,val,C,1496,1496,1.0,89.5394385026738,85.0,176.0,1486,0.9933155080213903,0,0
32,train,A,6000,6000,1.0,82.68883333333333,74.0,172.0,5842,0.9736666666666667,0,0
32,train,B,6000,6000,1.0,78.41166666666666,68.0,170.0,5600,0.9333333333333333,0,0
32,train,C,6000,6000,1.0,79.06116666666667,70.0,168.0,5732,0.9553333333333334,0,0
32,val,A,1496,1496,1.0,86.4913101604278,82.0,175.0,1488,0.9946524064171123,0,0
32,val,B,1496,1496,1.0,88.07754010695187,84.0,173.0,1490,0.9959893048128342,0,0
32,val,C,1496,1496,1.0,89.06283422459893,85.0,176.0,1486,0.9933155080213903,0,0
