sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3042-1,md3042,A,0.08203842940685047,0.12456140350877193,0.39649122807017545,0.11656024416415277,570
md3043-1,md3043,A,0.4125208125208125,0.7727272727272727,0.45874125874125876,0.5318018825912023,1430
md3045-1,md3045,A,0.5420035938903863,0.8805031446540881,0.8207547169811321,0.5477040016650935,636
md3046-1,md3046,A,0.5550174872208771,0.9180790960451978,0.8771186440677966,0.5599021605776191,708
md3047-1,md3047,A,0.5349626612355737,0.780040733197556,0.6232179226069247,0.5394660359708016,491
md3049-1,md3049,A,0.38868447715032256,0.5699888017917133,0.4916013437849944,0.3941720296204058,893
md3052-1,md3052,A,0.2153998514483783,0.2530329289428076,0.2530329289428076,0.22075205930168834,577
md3053-1,md3053,A,0.4618689581095596,0.9802631578947368,0.22650375939849623,0.46081088832516276,1064
md3056-1,md3056,A,0.7994741454864154,1.0,0.9950920245398773,0.8148046781923282,815
md3057-1,md3057,A,0.7436507936507936,0.9629629629629629,0.9629629629629629,0.7564946127345786,540
md3061-1,md3061,A,0.30807159743329954,0.4553191489361702,0.42411347517730497,0.3121323985966367,705
md3063-1,md3063,A,0.704673721340388,0.9092592592592592,0.8648148148148148,0.716493243127183,540
md3001-2,md3001,B,0.6903849662470352,1.0,0.8984674329501916,0.7003192751765304,1566
md3002-2,md3002,B,0.736407249466951,0.914179104477612,1.0,0.8224123983257703,536
md3003-2,md3003,B,0.13380952380952382,0.1675,1.0,0.7781093105380843,400
md3004-2,md3004,B,0.3281385281385281,0.40484848484848485,0.8909090909090909,0.6530963516072212,825
md3006-2,md3006,B,0.27898458131016274,0.35241502683363146,0.8765652951699463,0.5979257627906694,559
md3007-2,md3007,B,0.15077774596812674,0.20440881763527055,0.4148296593186373,0.1959463744865199,998
md3009-2,md3009,B,0.021333333333333333,0.0296,0.8872,0.15733104531361733,1250
md3010-2,md3010,B,0.0,0.0,0.9949186991869918,0.0,984
